자치구명,관리번호,도로(가로)명,설치위치,           설치지점,     수거 쓰레기 종류,              형태,설치시기
광진구,1, 광나루로 533,구의시장 삼거리(레미안구의파크스위트) 정류장,"① 정류장(버스, 택시 등)",일반 사각쓰레기통,일반쓰레기,2020
광진구,2, 광나루로 533,구의시장 삼거리(레미안구의파크스위트) 정류장,"① 정류장(버스, 택시 등)",일반 사각쓰레기통,재활용쓰레기,2020
광진구,3,강변역로,강변역2번출구 미화원휴게실 앞 벤치,② 지하철역 입구,기타(텀블러형 등),일반쓰레기,2018
광진구,4,강변역로,동서울터미널 흡연부스 앞,② 지하철역 입구,기타(텀블러형 등),일반쓰레기,2018
광진구,5,강변역로,강변역2번출구 미화원휴게실 앞 벤치,② 지하철역 입구,기타(텀블러형 등),재활용쓰레기,2018
광진구,6,강변역로,동서울터미널 흡연부스 앞,② 지하철역 입구,기타(텀블러형 등),재활용쓰레기,2018
광진구,7,강변역로,강변역2번출구 미화원휴게실 앞 벤치,② 지하철역 입구,담배꽁초 수거함,일반쓰레기,2018
광진구,8,광나루로,광나루로 474(벤처창업지원센터),④ 광장 등 다중집합장소,담배꽁초 수거함,일반쓰레기,2018
광진구,9,광나루로 341,화양사거리 청무체육관 앞,③ 도로(가로)변,일반 사각 쓰레기통,일반쓰레기,2017
광진구,10,광나루로 410,어린이대공원 3번출구 정류장(KCC 파크타운),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,일반쓰레기,2019
광진구,11,광나루로 410,어린이대공원 3번출구 정류장(KCC 파크타운),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,재활용쓰레기,2019
광진구,12,광나루로 441,어린이회관 앞 횡단보도(건국문맞은편),③ 도로(가로)변,일반 사각 쓰레기통,일반쓰레기,2017
광진구,13,광나루로 579,금호아파트 앞 정류장,"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,일반쓰레기,2020
광진구,14,광나루로 579,금호아파트 앞 정류장,"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,재활용쓰레기,2020
광진구,15,광나루로56길 8,광진구 민방위교육장 앞,③ 도로(가로)변,일반 사각 쓰레기통,일반쓰레기,2020
