동명,수거요일,폐기물종류,수거업체,집하장소
중곡1동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",일반,㈜대아이디아이,천호대로 831(다목적공공복합시설)
중곡2동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",일반,㈜대아이디아이,천호대로 831(다목적공공복합시설)
중곡3동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",일반,㈜대아이디아이,천호대로 831(다목적공공복합시설)
중곡4동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",일반,㈜대아이디아이,천호대로 831(다목적공공복합시설)
능동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",일반,㈜장수환경,천호대로 831(다목적공공복합시설)
구의1동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",일반,㈜로칼크린,천호대로 831(다목적공공복합시설)
구의2동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",일반,㈜로칼크린,천호대로 831(다목적공공복합시설)
구의3동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",일반,㈜로칼크린,천호대로 831(다목적공공복합시설)
광장동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",일반,㈜로칼크린,천호대로 831(다목적공공복합시설)
자양1동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",일반,㈜경동사,천호대로 831(다목적공공복합시설)
자양2동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",일반,㈜경동사,천호대로 831(다목적공공복합시설)
자양3동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",일반,㈜경동사,천호대로 831(다목적공공복합시설)
자양4동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",일반,㈜경동사,천호대로 831(다목적공공복합시설)
화양동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",일반,㈜장수환경,천호대로 831(다목적공공복합시설)
군자동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",일반,㈜장수환경,천호대로 831(다목적공공복합시설)
중곡1동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",재활용,㈜대아이디아이,없음
중곡2동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",재활용,㈜대아이디아이,없음
중곡3동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",재활용,㈜대아이디아이,없음
중곡4동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",재활용,㈜대아이디아이,없음
능동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",재활용,㈜장수환경,없음
구의1동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",재활용,㈜로칼크린,없음
구의2동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",재활용,㈜로칼크린,없음
구의3동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",재활용,㈜로칼크린,없음
광장동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",재활용,㈜로칼크린,없음
자양1동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",재활용,㈜경동사,없음
자양2동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",재활용,㈜경동사,없음
자양3동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",재활용,㈜경동사,없음
자양4동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",재활용,㈜경동사,없음
화양동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",재활용,㈜장수환경,없음
군자동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",재활용,㈜장수환경,없음
중곡1동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",음식물,㈜대아이디아이,없음
중곡2동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",음식물,㈜대아이디아이,없음
중곡3동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",음식물,㈜대아이디아이,없음
중곡4동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",음식물,㈜대아이디아이,없음
능동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",음식물,㈜장수환경,없음
구의1동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",음식물,㈜로칼크린,없음
구의2동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",음식물,㈜로칼크린,없음
구의3동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",음식물,㈜로칼크린,없음
광장동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",음식물,㈜로칼크린,없음
자양1동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",음식물,㈜경동사,없음
자양2동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",음식물,㈜경동사,없음
자양3동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",음식물,㈜경동사,없음
자양4동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",음식물,㈜경동사,없음
화양동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",음식물,㈜장수환경,없음
군자동,"일,월,화,수,목,금(토요일 및 법정공휴일 미배출)",음식물,㈜장수환경,없음
