신청건수 기준일,전체 처리건수,방문신청건수,인터넷신청건수,관리기관 연락처,관리기관명,데이터기준일자
2015-01-31,3714,3031,683,02-450-7613,서울특별시 광진구청,2024-02-13
2015-02-28,3827,3099,728,02-450-7613,서울특별시 광진구청,2024-02-13
2015-03-31,5723,4737,986,02-450-7613,서울특별시 광진구청,2024-02-13
2015-04-30,5284,4466,818,02-450-7613,서울특별시 광진구청,2024-02-13
2015-05-31,5207,4289,918,02-450-7613,서울특별시 광진구청,2024-02-13
2015-06-30,5730,4740,990,02-450-7613,서울특별시 광진구청,2024-02-13
2015-07-31,5343,4386,957,02-450-7613,서울특별시 광진구청,2024-02-13
2015-08-31,5521,4509,1012,02-450-7613,서울특별시 광진구청,2024-02-13
2015-09-30,5050,4147,903,02-450-7613,서울특별시 광진구청,2024-02-13
2015-10-31,5451,4498,953,02-450-7613,서울특별시 광진구청,2024-02-13
2015-11-30,4916,3953,963,02-450-7613,서울특별시 광진구청,2024-02-13
2015-12-31,4672,3692,980,02-450-7613,서울특별시 광진구청,2024-02-13
2016-01-31,4373,3365,1008,02-450-7625,서울특별시 광진구청,2024-02-13
2016-02-28,5607,4308,1299,02-450-7625,서울특별시 광진구청,2024-02-13
2016-03-31,6889,5416,1473,02-450-7625,서울특별시 광진구청,2024-02-13
2016-04-30,6009,4890,1119,02-450-7625,서울특별시 광진구청,2024-02-13
2016-05-31,6632,5204,1428,02-450-7625,서울특별시 광진구청,2024-02-13
2016-06-30,6531,5193,1338,02-450-7625,서울특별시 광진구청,2024-02-13
2016-07-31,5902,4530,1372,02-450-7625,서울특별시 광진구청,2024-02-13
2016-08-31,7173,5480,1693,02-450-7625,서울특별시 광진구청,2024-02-13
2016-09-30,6701,5351,1350,02-450-7625,서울특별시 광진구청,2024-02-13
2016-10-31,7021,5336,1685,02-450-7625,서울특별시 광진구청,2024-02-13
2016-11-30,6528,5087,1441,02-450-7625,서울특별시 광진구청,2024-02-13
2016-12-31,5640,4344,1296,02-450-7625,서울특별시 광진구청,2024-02-13
2017-01-31,5335,4052,1283,02-450-7625,서울특별시 광진구청,2024-02-13
2017-02-28,6844,5018,1826,02-450-7625,서울특별시 광진구청,2024-02-13
2017-03-31,7922,5956,1966,02-450-7625,서울특별시 광진구청,2024-02-13
2017-04-30,7351,5490,1861,02-450-7625,서울특별시 광진구청,2024-02-13
2017-05-31,8500,6522,1978,02-450-7625,서울특별시 광진구청,2024-02-13
2017-06-30,7746,5930,1816,02-450-7625,서울특별시 광진구청,2024-02-13
2017-07-31,7852,5810,2042,02-450-7625,서울특별시 광진구청,2024-02-13
2017-08-31,9118,6677,2441,02-450-7625,서울특별시 광진구청,2024-02-13
2017-09-30,9030,6541,2489,02-450-7625,서울특별시 광진구청,2024-02-13
2017-10-31,7897,5795,2102,02-450-7625,서울특별시 광진구청,2024-02-13
2017-11-30,7703,5451,2252,02-450-7625,서울특별시 광진구청,2024-02-13
2017-12-31,6398,4346,2052,02-450-7625,서울특별시 광진구청,2024-02-13
2018-01-31,7331,4867,2464,02-450-7625,서울특별시 광진구청,2024-02-13
2018-02-28,7967,5173,2794,02-450-7625,서울특별시 광진구청,2024-02-13
2018-03-31,10402,7082,3320,02-450-7625,서울특별시 광진구청,2024-02-13
2018-04-30,9860,6921,2939,02-450-7625,서울특별시 광진구청,2024-02-13
2018-05-31,10267,7084,3183,02-450-7625,서울특별시 광진구청,2024-02-13
2018-06-30,9725,6643,3082,02-450-7625,서울특별시 광진구청,2024-02-13
2018-07-31,10086,6708,3378,02-450-7625,서울특별시 광진구청,2024-02-13
2018-08-31,9379,6207,3172,02-450-7625,서울특별시 광진구청,2024-02-13
2018-09-30,8562,5558,3004,02-450-7625,서울특별시 광진구청,2024-02-13
2018-10-31,11108,7326,3782,02-450-7625,서울특별시 광진구청,2024-02-13
