연번,자치구,업소명,전화번호,소재지(도로명),구분,행정동
1,광진구,안흥갈비 중곡점,02-499-1204,"광진구 능동로 373, 2층(중곡동)",일반음식점,중곡1동
2,광진구,장군갈비,02-447-3479,  용마산로 11 장군갈비 (중곡동),일반음식점,중곡2동
3,광진구,소담촌,02-2201-8880,용마산로10(중곡동),일반음식점,중곡2동
4,광진구,용마초등학교,02-3436-4012,천호대로 113길10(중곡동),집단급식소,중곡2동
5,광진구,마루샤브(아차산역점),02-454-0600,천호대로 633,일반음식점,중곡2동
6,광진구,단군의땅 기찬갈비 (기찬아구찜),,면목로140(중곡동),일반음식점,중곡3동
7,광진구,중마초등학교,02-498-4297,동일로72길43(중곡동),집단급식소,중곡3동
8,광진구,중광초등학교,02-463-5877,긴고랑로13길59(중곡동),집단급식소,중곡3동
9,광진구,용곡초등학교,02-447-6824,용마산로22길82(중곡동),집단급식소,중곡4동
10,광진구,대원여자고등학교,02-2204-1621,용마산로22길26(중곡동),집단급식소,중곡4동
11,광진구,"대원고등학교(외국,국제중포함)",02-2204-1568,용마산로22길26(중곡동),집단급식소,중곡4동
12,광진구,용곡중학교,02-452-2621,용마산로22길76(중곡동),집단급식소,중곡4동
13,광진구,잉글사이드,02-455-7893,능동로282(능동),일반음식점,능동
14,광진구,명륜진사갈비 아차산역점,02-444-9294,"능동로36길187 1,2층(능동)",일반음식점,능동
15,광진구,어린이회관 유치원,02-2204-6100,광나루로 441(능동),집단급식소,능동
16,광진구,연세무척나은병원점,02-3425-8285,천호대로 568(능동),집단급식소,능동
17,광진구,"동국대학교사범대학부속여자고등학교",02-2049-1568,광나루로36길47(구의동),집단급식소,구의1동
18,광진구,광진경찰서(복지회),,자양로 167(구의동),집단급식소,구의1동
19,광진구,어사출또 구의역점,,아차산로 377,일반음식점,구의1동
20,광진구,청진동 해장국,,천호대로131길7(구의동),일반음식점,구의2동
21,광진구,백년회관서서갈비 아차산점,,"천호대로659, 2층",일반음식점,구의2동
22,광진구,광진초등학교,02-458-6855,자양로40길 41  (구의동),집단급식소,구의2동
23,광진구,동의초등학교,02-456-7977,영화사로 111  (구의동),집단급식소,구의2동
24,광진구,선화예술중·고등학교,02-2204-1033,천호대로664(구의동),집단급식소,구의2동
25,광진구,경복초등학교,02-2204-1218,천호대로130길58(구의동),집단급식소,구의2동
26,광진구,제니스병원,02-3436-8888,자양로215(구의동),집단급식소,구의2동
27,광진구,삼일민물장어,02-454-8808,자양로215(구의동),일반음식점,구의2동
28,광진구,성동초등학교,02-447-2664,자양로4길63(구의동),집단급식소,구의3동
29,광진구,광진학교,02-455-1909,강변역로18(구의동),집단급식소,구의3동
30,광진구,동서울관광호텔,,구의강변로38(구의동),관광숙박시설,구의3동
31,광진구,구남초등학교,02-453-8924,구의강변로69(구의동),집단급식소,구의3동
32,광진구,㈜경기고속,02-3436-3115,"강변역로4길 34(구의동, 현대하이엘)",집단급식소,구의3동
33,광진구,광진우체국,02-204-9050,강변역로 2 지하1층(구의동),집단급식소,구의3동
34,광진구,바르미샤브샤브 N칼국수,,서울특별시 광진구 아차산로 471_ CS PLAZA 301호 (구의동),일반음식점,구의3동
35,광진구,강남면옥,02-446-5539,"구의강변로 106, 101-109호",일반음식점,구의3동
36,광진구,메이탄,,광나루로590,일반음식점,구의3동
37,광진구,행복한우,02-446-6987,광진구 구의강변로30(구의동),일반음식점,구의3동
38,광진구,최원석의 돼지한판＆서해쭈꾸미,,광진구 아차산로 478(구의동),일반음식점,구의3동
39,광진구,양촌리 생삼겹살,,아차산로482(구의동),일반음식점,구의3동
40,광진구,연스시,02-457-0707,"아차산로438, 1층(구의동)",일반음식점,구의3동
41,광진구,광남고등학교,02-2204-8880,아차산로70길 17-16  (광장동),집단급식소,광장동
42,광진구,광남중학교,456-8792,아차산로70길 17-62 (광장동),집단급식소,광장동
43,광진구,재한몽골학교,02-3437-7078,광장로 1(광장동),집단급식소,광장동
44,광진구,양진중학교,02-2049-1281,워커힐로32(광장동),집단급식소,광장동
45,광진구,파인푸드 장로신학대학교,,광장로5길25-1(광장동),집단급식소,광장동
46,광진구,서울양진초등학교,02-454-9311,워커힐로32(광장동),집단급식소,광장동
47,광진구,서울광남초등학교,02-455-3485,아차산로70길35(광장동),집단급식소,광장동
48,광진구,광장중학교,02-452-0744,광장로1길1(광장동),집단급식소,광장동
49,광진구,서울광장초등학교,02-458-0970,광장로1길27(광장동),집단급식소,광장동
50,광진구,가온,02-3436-7100,서울특별시 광진구 아차산로78길 75 (광장동),일반음식점,광장동
51,광진구,신선설농탕(광나루역),,천호대로 813,일반음식점,광장동
52,광진구,램스야,02-456-0213,"광진구 아차산로78길166, 1층(광장빌딩)",일반음식점,광장동
53,광진구,중일가든,02-447-4111,아차산로 76가길4,일반음식점,광장동
54,광진구,채선당(광장점),,아차산로 563(대한제지빌딩),일반음식점,광장동
55,광진구,담소사골순대,,천호대로 799(광장동),일반음식점,광장동
56,광진구,자양초등학교,,아차산로44길 26 (자양동),집단급식소,자양1동
57,광진구,광진구청 구내식당,02-450-7878,자양로117(자양동),집단급식소,자양1동
58,광진구,오석한방병원, ,자양로116(자양동),집단급식소,자양1동
59,광진구,맷돌로만,,자양로 135(자양동),일반음식점,자양1동
60,광진구,마루샤브 구의점,,아차산로355 광진아크로텔 1층,일반음식점,자양1동
61,광진구,양남초등학교,02-452-8189,뚝섬로64길71(자양동),집단급식소,자양2동
62,광진구,신자초등학교,02-450-5600,뚝섬로 46길64(자양동),집단급식소,자양2동
63,광진구,광양고등학교,02-446-1435,자양로3가길31,집단급식소,자양2동
64,광진구,광양중학교,02-452-6921,자양로3길7(자양동),집단급식소,자양2동
65,광진구,광진중학교,070-8740-0434,뚝섬로64길45(자양동),집단급식소,자양2동
66,광진구,성자초등학교,02-452-3671,뚝섬로56길7(자양동),집단급식소,자양2동
67,광진구,삼주외식산업㈜-동서울우편집중국,,자양로 76(자양동),집단급식소,자양2동
68,광진구,송림식당,02-457-5473,자양번영로79(자양동),일반음식점,자양3동
69,광진구,아리랑하우스,,광진구 강변북로 2230 (자양동),일반음식점,자양3동
70,광진구,건대 동문회관,,아차산로36길5(자양동),일반음식점,자양3동
71,광진구,동자초등학교,,뚝섬로 561 (자양동),집단급식소,자양3동
72,광진구,신양중학교,, 자양강변길 73(자양동),집단급식소,자양3동
73,광진구,자양고등학교,02-2049-4100,뚝섬로37길28(자양동),집단급식소,자양3동
74,광진구,자양중학교,,뚝섬로 41길33(자양동),집단급식소,자양3동
75,광진구,서울신양초등학교,,능동로42(자양동),집단급식소,자양3동
76,광진구,신흥기업(오케이푸드),02-453-9481,자양번영로3(자양동),집단급식소,자양3동
77,광진구,서울프라임병원(푸디스트주식회사),,동일로 92-1(자양동),집단급식소,자양4동
78,광진구,고기대통령,02-462-9080,"능동로91, 2층(자양동)",일반음식점,자양4동
79,광진구,주식회사 삼정승 (귀품찬),,아차산로192(자양동),일반음식점,자양4동
80,광진구,명륜진사갈비 자양점,02-464-4564,뚝섬로503(자양동),일반음식점,자양4동
81,광진구,로니로티 건국대점,,아차산로 225_ 단산화빌딩 5층 (화양동),일반음식점,화양동
82,광진구,화양회관,,"동일로 146, 1층(화양동)",일반음식점,화양동
83,광진구,홍콩포차,,군자로46(지하),일반음식점,화양동
84,광진구,주식회사 이게진짜찐건대점,,동일로22길 81 캠퍼스프라자 ,일반음식점,화양동
85,광진구,건대메이드,,아차산로 219,일반음식점,화양동
86,광진구,새마을39운동포차,,아차산로33길 33(화양동),일반음식점,화양동
87,광진구,터치,02-498-3455,아차산로29길 12(화양동),일반음식점,화양동
88,광진구,마초쉐프 건대점,,능동로125. 2층,일반음식점,화양동
89,광진구,감성타코 건대점,,능동로13길39(화양동),일반음식점,화양동
90,광진구,맥도날드 어린이대공원점,,"광진구 광나루로 392, 1,2층(화양동)",휴게음식점,화양동
91,광진구,C156 (에비뉴호텔 지하1층),,동일로 156 지하1층(화양동),일반음식점,화양동
92,광진구,KFC세종대점 ㈜케이에프씨코리아,,"광나루로 396. 1,2층",일반음식점,화양동
93,광진구,도키도키,,"광진구 아차산로33길43, 2,3,4층(화양동)",일반음식점,화양동
94,광진구,빕스 어린이대공원점,050-71326-1997,광나루로 410(화양동) KCC파크타운 2층,일반음식점,화양동
95,광진구,느린마을양조장(건대점),,"아차산로 235, 2층",일반음식점,화양동
96,광진구,1943 (일구사삼),,광진구 동일로22길81(화양동),일반음식점,화양동
97,광진구,뽕사부,,아차산로205(화양동),일반음식점,화양동
98,광진구,하이디라오코리아 (유)건대지점,,"능동로110 스타시티영존 A동 203호, 207호(화양동) ",일반음식점,화양동
99,광진구,시옌,02-498-2280,"능동로137-8, 지하1 지상 1,2(화양동)",일반음식점,화양동
100,광진구,쑤담샤브샤브,,아차산로241(화양동),일반음식점,화양동
101,광진구,인쌩맥주,,"아차산로25길14 1,2층(화양동)",일반음식점,화양동
102,광진구,건국대 부속고등학교,,능동로120(화양동),집단급식소,화양동
103,광진구,구의중학교,070-8672-9431,광나루로30길80(화양동),집단급식소,화양동
104,광진구,구의초등학교,02-2201-9959,광나루로 30길49(화양동),집단급식소,화양동
105,광진구,건국대학교사범대학부속 중학교,,자양로145-1(화양동),집단급식소,화양동
106,광진구,"㈜아워홈 건국대점(학생식당, 교직원식당 1층 식당 등)",,"능동로120, 학생회관 1층",집단급식소,화양동
107,광진구,"㈜아워홈 건국대신기숙사점(쿨하우스내 1층 식당)",,"능동로120, 건국대학교 기숙사",집단급식소,화양동
108,광진구,일우헌(건국대),,능동로120(화양동),집단급식소,화양동
109,광진구,건국대학병원 구내식당,,능동로120-1(화양동),집단급식소,화양동
110,광진구,동부 참사랑 요양병원,,동일로154(화양동),집단급식소,화양동
111,광진구,오늘술집 주다방,,동일로22길 64(자양동),일반음식점,화양동
112,광진구,㈜함흥면옥 건대점,,광나루로 456(화양동),일반음식점,화양동
113,광진구,하이난,,능동로243-1(군자동),일반음식점,군자동
114,광진구,장수마을 정육식당,,군자로100(군자동),일반음식점,군자동
